DATE,RSAFS
1992-01-01,164083
1992-02-01,164260
1992-03-01,163747
1992-04-01,164759
1992-05-01,165617
1992-06-01,166098
1992-07-01,167305
1992-08-01,167797
1992-09-01,169407
1992-10-01,170681
1992-11-01,171025
1992-12-01,172995
1993-01-01,175078
1993-02-01,173770
1993-03-01,172328
1993-04-01,176766
1993-05-01,178445
1993-06-01,178201
1993-07-01,180759
1993-08-01,180692
1993-09-01,181800
1993-10-01,182910
1993-11-01,184746
1993-12-01,186339
1994-01-01,185128
1994-02-01,188077
1994-03-01,191588
1994-04-01,191632
1994-05-01,190940
1994-06-01,193196
1994-07-01,193763
1994-08-01,196157
1994-09-01,197754
1994-10-01,199579
1994-11-01,199723
1994-12-01,200670
1995-01-01,201583
1995-02-01,198383
1995-03-01,200230
1995-04-01,201048
1995-05-01,202993
1995-06-01,205507
1995-07-01,204959
1995-08-01,206529
1995-09-01,206978
1995-10-01,206157
1995-11-01,208661
1995-12-01,210434
1996-01-01,208731
1996-02-01,212011
1996-03-01,213855
1996-04-01,214644
1996-05-01,216304
1996-06-01,216059
1996-07-01,216374
1996-08-01,216355
1996-09-01,219240
1996-10-01,221039
1996-11-01,220989
1996-12-01,221898
1997-01-01,223524
1997-02-01,225409
1997-03-01,226136
1997-04-01,224588
1997-05-01,222906
1997-06-01,226048
1997-07-01,228738
1997-08-01,229317
1997-09-01,230284
1997-10-01,229822
1997-11-01,230486
1997-12-01,231197
1998-01-01,231605
1998-02-01,231664
1998-03-01,233043
1998-04-01,235976
1998-05-01,237055
1998-06-01,238958
1998-07-01,237423
1998-08-01,236412
1998-09-01,238542
1998-10-01,242531
1998-11-01,244307
1998-12-01,246577
1999-01-01,246891
1999-02-01,249510
1999-03-01,250657
1999-04-01,252418
1999-05-01,254738
1999-06-01,255472
1999-07-01,257441
1999-08-01,260253
1999-09-01,261352
1999-10-01,261825
1999-11-01,264883
1999-12-01,269876
2000-01-01,268091
2000-02-01,272020
2000-03-01,275214
2000-04-01,271004
2000-05-01,271418
2000-06-01,273440
2000-07-01,272638
2000-08-01,272943
2000-09-01,277523
2000-10-01,276973
2000-11-01,275923
2000-12-01,275736
2001-01-01,278916
2001-02-01,278799
2001-03-01,276468
2001-04-01,280804
2001-05-01,281540
2001-06-01,280399
2001-07-01,279522
2001-08-01,281423
2001-09-01,276095
2001-10-01,294613
2001-11-01,286960
2001-12-01,283708
2002-01-01,283577
2002-02-01,285061
2002-03-01,284263
2002-04-01,288820
2002-05-01,284994
2002-06-01,287401
2002-07-01,290427
2002-08-01,292582
2002-09-01,288434
2002-10-01,289634
2002-11-01,291475
2002-12-01,293819
2003-01-01,295294
2003-02-01,291178
2003-03-01,296347
2003-04-01,295643
2003-05-01,296395
2003-06-01,299662
2003-07-01,302788
2003-08-01,307745
2003-09-01,305916
2003-10-01,304824
2003-11-01,308551
2003-12-01,307362
2004-01-01,309225
2004-02-01,311427
2004-03-01,316935
2004-04-01,313531
2004-05-01,318962
2004-06-01,314971
2004-07-01,318532
2004-08-01,318945
2004-09-01,324607
2004-10-01,326680
2004-11-01,327837
2004-12-01,331877
2005-01-01,329187
2005-02-01,332847
2005-03-01,332517
2005-04-01,337608
2005-05-01,334551
2005-06-01,344034
2005-07-01,346715
2005-08-01,342950
2005-09-01,343711
2005-10-01,344390
2005-11-01,347047
2005-12-01,347441
2006-01-01,357626
2006-02-01,354614
2006-03-01,356357
2006-04-01,357320
2006-05-01,356423
2006-06-01,357763
2006-07-01,359217
2006-08-01,360497
2006-09-01,358468
2006-10-01,358435
2006-11-01,359256
2006-12-01,364300
2007-01-01,363462
2007-02-01,364090
2007-03-01,367714
2007-04-01,366065
2007-05-01,370887
2007-06-01,367933
2007-07-01,369472
2007-08-01,370982
2007-09-01,373138
2007-10-01,375048
2007-11-01,378371
2007-12-01,375349
2008-01-01,375303
2008-02-01,371661
2008-03-01,371961
2008-04-01,373877
2008-05-01,375790
2008-06-01,376584
2008-07-01,374774
2008-08-01,372091
2008-09-01,366167
2008-10-01,352900
2008-11-01,339942
2008-12-01,332065
2009-01-01,336977
2009-02-01,335765
2009-03-01,330219
2009-04-01,331314
2009-05-01,334290
2009-06-01,339532
2009-07-01,340286
2009-08-01,346705
2009-09-01,338356
2009-10-01,341590
2009-11-01,344911
2009-12-01,346258
2010-01-01,346349
2010-02-01,346972
2010-03-01,354625
2010-04-01,357086
2010-05-01,354430
2010-06-01,353830
2010-07-01,354536
2010-08-01,356560
2010-09-01,359440
2010-10-01,363855
2010-11-01,367352
2010-12-01,369299
2011-01-01,372041
2011-02-01,375003
2011-03-01,378472
2011-04-01,380284
2011-05-01,380398
2011-06-01,383081
2011-07-01,382966
2011-08-01,383541
2011-09-01,387313
2011-10-01,390302
2011-11-01,391478
2011-12-01,391695
2012-01-01,395280
2012-02-01,400181
2012-03-01,401830
2012-04-01,400095
2012-05-01,399463
2012-06-01,395723
2012-07-01,397516
2012-08-01,401937
2012-09-01,405707
2012-10-01,405598
2012-11-01,407327
2012-12-01,409468
2013-01-01,412207
2013-02-01,416783
2013-03-01,412514
2013-04-01,413391
2013-05-01,414207
2013-06-01,415989
2013-07-01,417962
2013-08-01,417101
2013-09-01,417682
2013-10-01,419686
2013-11-01,421056
2013-12-01,422891
2014-01-01,419195
2014-02-01,424657
2014-03-01,429707
2014-04-01,433082
2014-05-01,434161
2014-06-01,435587
2014-07-01,435429
2014-08-01,438598
2014-09-01,437932
2014-10-01,439829
2014-11-01,441445
2014-12-01,437996
2015-01-01,435881
2015-02-01,433579
2015-03-01,440463
2015-04-01,440355
2015-05-01,444400
2015-06-01,444747
2015-07-01,447112
2015-08-01,447738
2015-09-01,447641
2015-10-01,446489
2015-11-01,448724
2015-12-01,450831
2016-01-01,446757
2016-02-01,448591
2016-03-01,447907
